Hub State Indicator,Rowid Object,Prop Nm,Prop Area,Rjct Rsn Txt,Reject Record Status,MDM_PROP_ID,Src Geo Loc Typ,Geo Lat,Geo Long,Prim Ind,Conf Wght,Addr Line1,City Nm,County Id,State Prov Id,Postal Code,Country Id,Country Iso2,Country Iso3,Country Iso3 Id,Addr Status,Adr Mail Scr
1,4480169,Aerospace Science And Technology Square,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Aerospace Science And Technology Square, Source Complete Address: Haide 3 Rd; Shenzhen; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 航天科技广场, Source Complete Address: 深圳市海德三道; 深圳; 中国",Ready For Review,T4480169,,,,,,Haide 3 Road,Shenzhen,,Guangdong,518000,China,CN,CHN,156,INVALID,2
1,4480170,East International Building 3,,"Addr_Line_1 Not In Standard Format -- Source Property Name: East International Building 3, Source Complete Address: Ciyunsi; Beijing; China|Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480170,,,,,,Ciyunsi,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480171,Bosideng International Building,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Bosideng International Building, Source Complete Address: Zhengfu Road; Shanghai; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 波司登国际大厦, Source Complete Address: 政府路; 上海; 中国",Ready For Review,T4480171,,,,,,Zhengfu Road,Shanghai,,Shanghai,200433,China,CN,CHN,156,INVALID,3
1,4480172,Shunshijiaye High-Tech Business Incubator,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Shunshijiaye High-Tech Business Incubator, Source Complete Address: zhufang road; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 顺事嘉业创业园区, Source Complete Address: 朱房路; 北京; 中国",Ready For Review,T4480172,,,,,,Zhufang Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480173,Bank of America Center,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 美国银行中心, Source Complete Address: 人民中路545-593号; 广州; 中国",Ready For Review,T4480173,,,,,,545-593 Ren Min Middle Road,Guangzhou,,Guangdong,510145,China,CN,CHN,156,INVALID,3
1,4480174,Baosteel Expo,,"Addr_Line_1 Not In Standard Format -- Source Property Name: 世博宝钢大厦, Source Complete Address: 世博大道; 上海; 中国",Ready For Review,T4480174,,,,,,1859 Shibu Street,Shanghai,,Shanghai,200120,China,CN,CHN,156,INVALID,3
1,4480175,Tong Heng Tower,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: , Source Complete Address: 北京; 中国",Ready For Review,T4480175,,,,,,4 Huayuan Road,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
1,4480176,Union Plaza,,"Addr_Line_1 Not In Standard Format -- Source Property Name: Union Plaza, Source Complete Address: Chaowai Avenue No 20; Beijing; China",Ready For Review,T4480176,,,,,,Chaowai Avenue No 20,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480177,Lonsdale Centre,,"Address_Line1 is null;Addr_Line_1 Not In Standard Format -- Source Property Name: 蓝涛中心, Source Complete Address: 北京; 中国",Ready For Review,T4480177,,,,,,5 Wanhong Road,Beijing,,Beijing,100020,China,CN,CHN,156,INVALID,2
1,4480178,The Culture Tower,,"Addr_Line_1 Not In Standard Format -- Source Property Name: The Culture Tower, Source Complete Address: Suzhou Street; Beijing; China|Addr_Line_1 Not In Standard Format -- Source Property Name: 第三级文化创意中心, Source Complete Address: 苏州街; 北京; 中国",Ready For Review,T4480178,,,,,,Suzhou Street,Beijing,,Beijing,100089,China,CN,CHN,156,INVALID,2
