url,city,district,bedroom,livingroom,kitchen,washroom,huxinjiegou,totalFloor,floorPosition,chaoxiang,zhuangxiuqingkuang,mianji,gongtanbili,Nianfen,diantishu,hushu,chanquannianxian,jiaoyiquanshu,fangwuyongtu,jianzhujiegou,fangwunianxian,chanquansuoshu,diyaxinxi,fangbenbeijian,jianzhuleixing,xqjj,xq_x_jj,unit_price
https://gz.ke.com/ershoufang/108400036509.html,Guangzhou,Fanyu,3,2,1,1,Flat,10,High,EN,Jing,98.83,0.15531721137306476,2004,1,4,70,SPF,PTZZ,GH,Less2,GY,YDY,YSC,TL,41235,32416,40474
https://gz.ke.com/ershoufang/108400036861.html,Guangzhou,Fanyu,3,2,1,1,Flat,17,Mid,S,Jing,85.61,0.21130709029319006,2011,2,5,70,SPF,PTZZ,GH,Greater2,GY,WDY,YSC,TL,35672,25326,36445
https://gz.ke.com/ershoufang/108400036881.html,Guangzhou,Fanyu,2,1,1,1,Flat,7,Mid,S,NA,68.7,0.08296943231441056,1998,1,3,70,SPF,PTZZ,GH,Greater5,GY,Unknown,YSC,TL,18967,26045,21107
https://gz.ke.com/ershoufang/108400036936.html,Guangzhou,Fanyu,2,1,1,1,Multi,9,High,EN,Jing,70.1,0.17489300998573454,1999,1,8,70,SPF,PTZZ,GH,Less2,FGY,WDY,YSC,TL,30029,30998,30671
https://gz.ke.com/ershoufang/108400037180.html,Guangzhou,Fanyu,2,2,1,1,Flat,18,High,WS,Jing,80.63,0.24569018975567403,2012,2,10,70,SPF,PTZZ,GH,Greater2,FGY,YDY,YSC,TL,31978,32073,32247
https://gz.ke.com/ershoufang/108400038640.html,Guangzhou,Fanyu,2,2,1,1,Flat,9,Mid,EN,NA,80,0.16862499999999991,2010,1,6,70,SPF,PTZZ,GH,Greater5,FGY,Unknown,YSC,TL,40234,37561,36125
https://gz.ke.com/ershoufang/108400038828.html,Guangzhou,Fanyu,2,1,1,1,Flat,7,Mid,S,NA,69,0.15680208993322842,1993,1,2,70,SPF,PTZZ,GH,Greater5,GY,WDY,YSC,TL,24217,24217,25363
https://gz.ke.com/ershoufang/108200014815.html,Guangzhou,Fanyu,2,2,1,1,Flat,6,High,N,Jing,70.34,0.13491612169462608,2011,1,3,70,SPF,PTZZ,GH,Greater5,GY,YDY,WSC,BL,30770,36707,30566
https://gz.ke.com/ershoufang/108200005357.html,Guangzhou,Fanyu,3,2,1,1,Flat,19,Mid,N,Jing,102,0.15680208993322842,2003,2,6,70,SPF,PTZZ,GH,Greater5,GY,Unknown,WSC,TL,31520,27269,29902
https://gz.ke.com/ershoufang/108200005490.html,Guangzhou,Fanyu,2,2,1,1,Flat,32,High,E,NA,66,0.15680208993322842,1998,2,8,70,SPF,PTZZ,GH,Greater5,FGY,YDY,WSC,TL,23895,24683,25758
